Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
25.63389,28.99100,1.68170,98.19000,24.75000,32.19000,19.44000,19.19000
25.83525,28.99400,1.67950,98.94000,24.75000,32.19000,19.44000,19.19000
26.03797,28.99700,1.67740,98.94000,24.75000,32.31000,19.44000,19.19000
26.24088,29.00000,1.67520,99.81000,24.75000,32.50000,19.44000,19.19000
26.42743,29.00300,1.67300,100.62000,24.75000,32.50000,19.44000,19.19000
26.63023,29.00600,1.67090,100.62000,24.75000,32.69000,19.44000,19.19000
26.83196,29.00900,1.66880,101.44000,24.75000,32.88000,19.44000,19.19000
27.03390,29.01300,1.66670,102.19000,24.75000,32.88000,19.44000,19.19000
27.23632,29.01600,1.66460,102.19000,24.75000,33.13000,19.44000,19.19000
27.42241,29.01900,1.66250,103.06000,24.75000,33.31000,19.44000,19.19000
27.62718,29.02200,1.66040,103.87000,24.75000,33.31000,19.44000,19.19000
27.82737,29.02500,1.65830,103.87000,24.75000,33.44000,19.44000,19.19000
28.02897,29.02800,1.65630,104.62000,24.75000,33.56000,19.44000,19.19000
28.22922,29.03100,1.65430,105.37000,24.75000,33.56000,19.44000,19.19000
28.43076,29.03400,1.65230,105.37000,24.75000,33.69000,19.44000,19.19000
28.61720,29.03600,1.65020,106.25000,24.75000,33.69000,19.50000,19.19000
28.82076,29.03900,1.64820,107.06000,24.75000,33.88000,19.50000,19.19000
29.02261,29.04200,1.64630,107.06000,24.75000,34.00000,19.50000,19.19000
29.22526,29.04500,1.64430,107.81000,24.75000,34.00000,19.50000,19.19000
29.42638,29.04800,1.64230,108.56000,24.75000,34.13000,19.50000,19.19000
29.61456,29.05100,1.64040,108.56000,24.75000,34.31000,19.50000,19.19000
29.81500,29.05400,1.63850,109.44000,24.75000,34.31000,19.50000,19.19000
30.01775,29.05600,1.63650,109.44000,24.75000,34.44000,19.50000,19.19000
30.22166,29.05900,1.63460,110.19000,24.75000,34.56000,19.50000,19.19000
30.40860,29.06100,1.63270,110.94000,24.75000,34.56000,19.50000,19.19000
30.61070,29.06400,1.63080,110.94000,24.75000,34.75000,19.50000,19.19000
30.81389,29.06700,1.62900,111.62000,24.75000,34.75000,19.50000,19.19000
31.01635,29.07000,1.62710,112.44000,24.75000,34.88000,19.50000,19.19000
31.21872,29.07200,1.62530,112.44000,24.75000,35.00000,19.50000,19.19000
